timestamp,temperature_c,humidity_percent,temperature_c_ma,humidity_percent_ma
2025-10-09 00:00:00,24.9,71.1,24.9,71.1
2025-10-09 00:05:00,24.7,70.9,24.799999999999997,71.0
2025-10-09 00:10:00,24.7,71.3,24.766666666666666,71.10000000000001
2025-10-09 00:15:00,24.8,71.3,24.733333333333334,71.16666666666667
2025-10-09 00:20:00,24.4,71.5,24.63333333333333,71.36666666666666
2025-10-09 00:25:00,24.4,72.2,24.53333333333333,71.66666666666667
2025-10-09 00:30:00,24.6,72.2,24.46666666666667,71.96666666666667
2025-10-09 00:35:00,24.4,71.9,24.466666666666665,72.10000000000001
2025-10-09 00:40:00,24.1,72.7,24.36666666666667,72.26666666666667
2025-10-09 00:45:00,24.2,72.6,24.23333333333333,72.39999999999999
2025-10-09 00:50:00,24.0,72.9,24.100000000000005,72.73333333333333
2025-10-09 00:55:00,23.9,73.0,24.03333333333333,72.83333333333333
2025-10-09 01:00:00,24.0,72.6,23.96666666666667,72.83333333333333
2025-10-09 01:05:00,23.6,72.8,23.833333333333332,72.8
2025-10-09 01:10:00,23.6,73.4,23.733333333333334,72.93333333333332
2025-10-09 01:15:00,23.7,73.5,23.633333333333336,73.23333333333333
2025-10-09 01:20:00,23.6,73.4,23.633333333333336,73.43333333333334
2025-10-09 01:25:00,23.7,73.5,23.666666666666668,73.46666666666667
2025-10-09 01:30:00,23.5,74.1,23.599999999999998,73.66666666666667
2025-10-09 01:35:00,23.4,73.4,23.53333333333333,73.66666666666667
2025-10-09 01:40:00,23.7,74.0,23.53333333333333,73.83333333333333
2025-10-09 01:45:00,23.5,73.8,23.53333333333333,73.73333333333333
2025-10-09 01:50:00,23.5,73.9,23.566666666666666,73.89999999999999
2025-10-09 01:55:00,23.2,74.5,23.399999999999995,74.06666666666666
2025-10-09 02:00:00,23.3,74.4,23.333333333333332,74.26666666666667
2025-10-09 02:05:00,23.4,74.5,23.299999999999997,74.46666666666668
2025-10-09 02:10:00,23.2,74.7,23.3,74.53333333333335
2025-10-09 02:15:00,23.4,74.3,23.333333333333332,74.5
2025-10-09 02:20:00,23.2,74.6,23.266666666666666,74.53333333333332
2025-10-09 02:25:00,23.2,74.2,23.266666666666666,74.36666666666666
2025-10-09 02:30:00,23.2,74.5,23.2,74.43333333333334
