Station_ID,Year,Month,Day,Hour,Minute,Second,Time_Since_Epoch,Ambient_Temperature,Surface_Temperature,Solar_Radiation,Relative_Humidity,Soil_Moisture,Watermark,Rain_Meter,Wind_Speed,Wind_Direction
2,2007,09,14,22,56,12,1189803372,5.390,0.287,1.063,88.475,21.825,-21.951,0.000,NaN,73.234
2,2007,09,14,22,58,12,1189803492,5.340,-0.150,4.254,88.441,21.897,-21.729,0.000,NaN,73.427
2,2007,09,14,23,00,12,1189803612,5.160,-0.087,0.532,88.373,22.479,-21.948,0.000,NaN,74.008
2,2007,09,14,23,02,12,1189803732,5.540,0.350,0.000,88.360,22.188,-21.867,0.000,NaN,73.427
2,2007,09,14,23,04,12,1189803852,5.300,0.225,0.000,88.190,22.624,-21.731,0.000,NaN,74.105
2,2007,09,14,23,06,12,1189803972,5.200,-0.212,0.532,87.945,22.043,-21.913,0.000,NaN,73.524
2,2007,09,14,23,08,12,1189804092,5.010,-0.463,0.532,87.721,21.534,-21.543,0.000,NaN,73.621
2,2007,09,14,23,10,12,1189804212,4.980,-0.275,0.000,87.317,21.970,-21.795,0.000,NaN,73.718
2,2007,09,14,23,12,12,1189804332,5.000,-0.900,0.532,87.101,22.479,-21.325,0.000,NaN,73.330
2,2007,09,14,23,14,12,1189804452,5.040,-0.275,0.532,86.578,21.825,-21.189,0.000,NaN,73.524
