timestamp_ist,step,event_type,run_count,task_name,model_name,cpu_percent,memory_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,cpu_temperature_celsius
2026-05-23T13:15:22.675270+05:30,step1_task_generator,start,1,,llama-3.3-70b-versatile,4.5,41.6,210367385,1264270393,649791,1369574,
2026-05-23T13:15:25.030680+05:30,step1_task_generator,end,1,,llama-3.3-70b-versatile,4.8,41.5,210415889,1264592566,649981,1369911,
2026-05-23T13:16:32.806255+05:30,step1_task_generator,start,2,,llama-3.3-70b-versatile,2.5,42.7,211086779,1275248986,656339,1379165,
2026-05-23T13:16:34.578900+05:30,step1_task_generator,end,2,,llama-3.3-70b-versatile,2.5,42.8,211099084,1275260897,656354,1379207,
2026-05-23T13:19:02.593658+05:30,step1_task_generator,start,3,,llama-3.3-70b-versatile,4.5,42.8,215303812,1337917670,673308,1427209,
2026-05-23T13:19:04.556645+05:30,step1_task_generator,end,3,,llama-3.3-70b-versatile,3.6,42.8,215321625,1337925383,673335,1427245,
2026-05-23T13:21:05.180323+05:30,step1_task_generator,start,4,,llama-3.3-70b-versatile,5.7,42.7,216501416,1346814236,676662,1438383,
2026-05-23T13:21:07.426352+05:30,step1_task_generator,end,4,,llama-3.3-70b-versatile,5.2,42.2,216519918,1347128358,676713,1438673,
2026-05-23T13:23:54.629107+05:30,step1_task_generator,start,5,,llama-3.3-70b-versatile,4.9,42.2,217202677,1357117227,678913,1450089,
2026-05-23T13:23:56.624452+05:30,step1_task_generator,end,5,,llama-3.3-70b-versatile,6.7,42.2,217225884,1357181168,678941,1450197,
