timestamp_ist,step,event_type,run_count,task_name,model_name,cpu_percent,memory_percent,bytes_sent,bytes_recv,packets_sent,packets_recv,cpu_temperature_celsius
2026-05-23T13:15:58.843719+05:30,step4_scheduler,start,1,,llama-3.3-70b-versatile,2.9,42.7,210826691,1270291685,653477,1374914,
2026-05-23T13:16:31.681897+05:30,step4_scheduler,end,1,,llama-3.3-70b-versatile,2.3,42.6,211086700,1275248584,656338,1379159,
2026-05-23T13:18:06.837026+05:30,step4_scheduler,start,2,,llama-3.3-70b-versatile,5.0,43.1,212587802,1334480771,669320,1423239,
2026-05-23T13:19:01.390989+05:30,step4_scheduler,end,2,,llama-3.3-70b-versatile,1.6,42.7,215302729,1337916289,673303,1427200,
2026-05-23T13:19:47.735084+05:30,step4_scheduler,start,3,,llama-3.3-70b-versatile,7.6,42.5,215619800,1338264041,673912,1428298,
2026-05-23T13:21:03.955261+05:30,step4_scheduler,end,3,,llama-3.3-70b-versatile,3.1,42.8,216486452,1346751078,676622,1438282,
2026-05-23T13:22:20.961696+05:30,step4_scheduler,start,4,,llama-3.3-70b-versatile,5.4,42.5,216858108,1353543944,677767,1445745,
2026-05-23T13:23:53.413880+05:30,step4_scheduler,end,4,,llama-3.3-70b-versatile,6.8,42.1,217186211,1357076427,678861,1449997,
2026-05-23T13:24:10.052713+05:30,step4_scheduler,start,5,,llama-3.3-70b-versatile,11.4,42.1,217332912,1357715093,679231,1450899,
2026-05-23T13:25:55.824076+05:30,step4_scheduler,end,5,,llama-3.3-70b-versatile,2.7,42.0,217778186,1369420990,681146,1461757,
