folder_name,model_name,dataset,session_timestamp,execution_success_rate_median,execution_success_rate_q1,execution_success_rate_q3
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),agri-data,20260731_161341,0.0,0.0,0.0
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),air-quality,20260731_161341,0.0,0.0,0.0
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),lab-data,20260731_161341,0.0,0.0,0.0
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 1),meteo-data,20260731_161341,0.0,0.0,0.0
local_run,moonshotai_kimi-k2.7-code_lei_v3_cloud (Run 2),meteo-data,20260731_204159,0.0,0.0,0.0
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),agri-data,20260731_161341,0.0,0.0,0.0
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),air-quality,20260731_161341,0.0,0.0,0.0
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 1),lab-data,20260731_161341,0.0,0.0,0.0
local_run,openai_gpt-4o-mini_lei_v3_cloud (Run 2),meteo-data,20260731_204159,0.0,0.0,0.0
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),agri-data,20260731_161341,0.0,0.0,0.0
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),air-quality,20260731_161341,0.0,0.0,0.0
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 1),lab-data,20260731_161341,0.0,0.0,0.0
local_run,qwen_qwen3.7-flash_lei_v3_cloud (Run 2),meteo-data,20260731_204159,0.0,0.0,0.0
