timestamp,temperature_c,humidity_percent
2025-10-09 00:00,24.9,71.1
2025-10-09 00:05,24.7,70.9
2025-10-09 00:10,24.7,71.3
2025-10-09 00:15,24.8,71.3
2025-10-09 00:20,24.4,71.5
2025-10-09 00:25,24.4,72.2
2025-10-09 00:30,24.6,72.2
2025-10-09 00:35,24.4,71.9
2025-10-09 00:40,24.1,72.7
2025-10-09 00:45,24.2,72.6
2025-10-09 00:50,24.0,72.9
2025-10-09 00:55,23.9,73.0
2025-10-09 01:00,24.0,72.6
2025-10-09 01:05,23.6,72.8
2025-10-09 01:10,23.6,73.4
2025-10-09 01:15,23.7,73.5
2025-10-09 01:20,23.6,73.4
2025-10-09 01:25,23.7,73.5
2025-10-09 01:30,23.5,74.1
2025-10-09 01:35,23.4,73.4
2025-10-09 01:40,23.7,74.0
2025-10-09 01:45,23.5,73.8
2025-10-09 01:50,23.5,73.9
2025-10-09 01:55,23.2,74.5
2025-10-09 02:00,23.3,74.4
2025-10-09 02:05,23.4,74.5
2025-10-09 02:10,23.2,74.7
2025-10-09 02:15,23.4,74.3
2025-10-09 02:20,23.2,74.6
2025-10-09 02:25,23.2,74.2
2025-10-09 02:30,23.2,74.5
2025-10-09 02:35,23.5,74.4
2025-10-09 02:40,23.2,74.5
2025-10-09 02:45,23.1,74.7
2025-10-09 02:50,23.3,74.2
2025-10-09 02:55,23.0,75.3
2025-10-09 03:00,23.2,74.1
2025-10-09 03:05,22.9,74.0
2025-10-09 03:10,23.0,75.0
2025-10-09 03:15,23.2,74.8
2025-10-09 03:20,23.3,74.7
2025-10-09 03:25,23.3,74.7
2025-10-09 03:30,23.2,74.4
2025-10-09 03:35,23.2,74.0
2025-10-09 03:40,23.1,74.3
2025-10-09 03:45,23.2,74.0
2025-10-09 03:50,23.3,74.6
2025-10-09 03:55,23.5,74.1
2025-10-09 04:00,23.4,73.8
2025-10-09 04:05,23.2,73.9
2025-10-09 04:10,23.5,74.1
2025-10-09 04:15,23.4,73.6
2025-10-09 04:20,23.4,73.4
2025-10-09 04:25,23.7,73.8
2025-10-09 04:30,23.8,73.7
2025-10-09 04:35,23.8,73.3
2025-10-09 04:40,23.6,73.2
2025-10-09 04:45,23.7,73.4
2025-10-09 04:50,23.9,72.6
2025-10-09 04:55,24.0,72.5
2025-10-09 05:00,23.9,72.6
2025-10-09 05:05,24.0,72.7
2025-10-09 05:10,23.9,72.7
2025-10-09 05:15,23.9,73.1
2025-10-09 05:20,24.3,72.7
2025-10-09 05:25,24.4,72.1
2025-10-09 05:30,24.3,72.0
2025-10-09 05:35,24.5,71.5
2025-10-09 05:40,24.5,71.7
2025-10-09 05:45,24.4,71.4
2025-10-09 05:50,24.7,71.5
2025-10-09 05:55,24.9,70.8
2025-10-09 06:00,24.8,71.2
2025-10-09 06:05,25.1,71.4
2025-10-09 06:10,24.6,70.6
2025-10-09 06:15,25.2,70.6
2025-10-09 06:20,25.1,70.5
2025-10-09 06:25,25.2,69.9
2025-10-09 06:30,25.3,69.9
2025-10-09 06:35,25.1,69.6
2025-10-09 06:40,25.5,69.4
2025-10-09 06:45,25.7,68.9
2025-10-09 06:50,25.9,69.0
2025-10-09 06:55,25.7,68.9
2025-10-09 07:00,25.8,69.1
2025-10-09 07:05,25.9,68.7
2025-10-09 07:10,26.2,68.9
2025-10-09 07:15,26.3,67.5
2025-10-09 07:20,26.2,67.9
2025-10-09 07:25,26.5,67.4
2025-10-09 07:30,26.5,68.0
2025-10-09 07:35,26.8,66.5
2025-10-09 07:40,26.6,66.3
2025-10-09 07:45,26.8,66.1
2025-10-09 07:50,26.9,65.3
2025-10-09 07:55,26.9,65.6
2025-10-09 08:00,27.2,65.3
2025-10-09 08:05,27.4,65.4
2025-10-09 08:10,27.4,65.2
2025-10-09 08:15,27.5,65.6
2025-10-09 08:20,27.4,65.0
2025-10-09 08:25,27.7,64.1
2025-10-09 08:30,27.8,63.7
2025-10-09 08:35,27.9,64.0
2025-10-09 08:40,28.1,63.0
2025-10-09 08:45,28.3,64.0
2025-10-09 08:50,28.6,63.5
2025-10-09 08:55,28.5,62.6
2025-10-09 09:00,28.4,62.3
2025-10-09 09:05,28.7,61.8
2025-10-09 09:10,29.1,63.0
2025-10-09 09:15,28.9,62.2
2025-10-09 09:20,29.1,60.8
2025-10-09 09:25,29.6,61.0
2025-10-09 09:30,29.3,60.9
2025-10-09 09:35,29.5,60.7
2025-10-09 09:40,29.5,60.2
2025-10-09 09:45,29.5,60.4
2025-10-09 09:50,29.9,59.5
2025-10-09 09:55,30.0,59.6
2025-10-09 10:00,30.1,59.4
2025-10-09 10:05,30.0,59.3
2025-10-09 10:10,30.4,59.2
2025-10-09 10:15,30.1,58.2
2025-10-09 10:20,30.5,57.8
2025-10-09 10:25,30.9,58.7
2025-10-09 10:30,30.5,58.0
2025-10-09 10:35,30.7,57.4
2025-10-09 10:40,30.9,58.0
2025-10-09 10:45,30.9,57.2
2025-10-09 10:50,30.9,57.4
2025-10-09 10:55,31.2,56.8
2025-10-09 11:00,31.1,57.3
2025-10-09 11:05,31.5,57.0
2025-10-09 11:10,31.4,56.0
2025-10-09 11:15,31.8,56.2
2025-10-09 11:20,31.6,55.9
2025-10-09 11:25,31.7,56.0
2025-10-09 11:30,32.0,54.8
2025-10-09 11:35,31.8,55.3
2025-10-09 11:40,32.1,55.2
2025-10-09 11:45,32.4,53.9
2025-10-09 11:50,32.0,53.9
2025-10-09 11:55,32.4,53.4
2025-10-09 12:00,32.5,53.9
2025-10-09 12:05,32.6,54.1
2025-10-09 12:10,32.4,54.3
2025-10-09 12:15,32.5,53.5
2025-10-09 12:20,32.8,54.0
2025-10-09 12:25,32.9,52.6
2025-10-09 12:30,32.9,52.3
2025-10-09 12:35,33.0,52.8
2025-10-09 12:40,32.9,52.8
2025-10-09 12:45,33.1,52.5
2025-10-09 12:50,33.2,51.6
2025-10-09 12:55,33.1,52.2
2025-10-09 13:00,33.6,51.6
2025-10-09 13:05,33.4,52.2
2025-10-09 13:10,33.2,52.0
2025-10-09 13:15,33.5,51.4
2025-10-09 13:20,33.3,51.4
2025-10-09 13:25,33.7,51.1
2025-10-09 13:30,33.8,51.4
2025-10-09 13:35,33.5,51.7
2025-10-09 13:40,33.8,50.8
2025-10-09 13:45,33.8,51.3
2025-10-09 13:50,33.9,50.8
2025-10-09 13:55,34.1,50.7
2025-10-09 14:00,33.8,50.9
2025-10-09 14:05,33.7,50.4
2025-10-09 14:10,33.7,50.6
2025-10-09 14:15,33.8,50.3
2025-10-09 14:20,33.9,51.5
2025-10-09 14:25,34.0,50.7
2025-10-09 14:30,34.0,50.3
2025-10-09 14:35,34.1,50.7
2025-10-09 14:40,34.0,50.5
2025-10-09 14:45,34.2,50.4
2025-10-09 14:50,34.0,50.8
2025-10-09 14:55,34.4,50.8
2025-10-09 15:00,34.1,50.3
2025-10-09 15:05,33.9,50.3
2025-10-09 15:10,33.8,50.4
2025-10-09 15:15,34.1,49.6
2025-10-09 15:20,33.9,49.9
2025-10-09 15:25,34.1,51.1
2025-10-09 15:30,34.0,51.3
2025-10-09 15:35,33.9,50.5
2025-10-09 15:40,33.8,50.9
2025-10-09 15:45,33.7,50.9
2025-10-09 15:50,33.8,52.0
2025-10-09 15:55,34.0,51.3
2025-10-09 16:00,33.8,50.9
2025-10-09 16:05,33.6,50.6
2025-10-09 16:10,33.8,50.4
2025-10-09 16:15,33.8,51.2
2025-10-09 16:20,33.5,50.9
2025-10-09 16:25,33.7,50.7
2025-10-09 16:30,33.6,51.2
2025-10-09 16:35,33.4,51.1
2025-10-09 16:40,33.5,52.3
2025-10-09 16:45,33.5,52.1
2025-10-09 16:50,33.6,51.9
2025-10-09 16:55,33.5,52.6
2025-10-09 17:00,33.1,52.1
2025-10-09 17:05,33.1,51.9
2025-10-09 17:10,33.2,53.0
2025-10-09 17:15,33.2,52.7
2025-10-09 17:20,33.1,52.3
2025-10-09 17:25,33.5,52.7
2025-10-09 17:30,33.0,52.6
2025-10-09 17:35,33.0,52.6
2025-10-09 17:40,32.9,53.7
2025-10-09 17:45,32.8,54.2
2025-10-09 17:50,32.5,53.1
2025-10-09 17:55,32.6,54.1
2025-10-09 18:00,32.3,53.8
2025-10-09 18:05,32.3,54.0
2025-10-09 18:10,32.2,54.2
2025-10-09 18:15,32.2,54.2
2025-10-09 18:20,32.4,54.8
2025-10-09 18:25,31.7,54.7
2025-10-09 18:30,32.0,55.3
2025-10-09 18:35,31.6,55.4
2025-10-09 18:40,31.6,55.5
2025-10-09 18:45,31.8,55.5
2025-10-09 18:50,31.5,55.8
2025-10-09 18:55,31.2,56.6
2025-10-09 19:00,31.2,56.7
2025-10-09 19:05,31.3,56.3
2025-10-09 19:10,31.0,57.0
2025-10-09 19:15,31.0,57.5
2025-10-09 19:20,30.9,56.8
2025-10-09 19:25,30.7,57.9
2025-10-09 19:30,31.0,57.6
2025-10-09 19:35,30.7,58.4
2025-10-09 19:40,30.1,58.1
2025-10-09 19:45,30.4,57.9
2025-10-09 19:50,30.1,58.2
2025-10-09 19:55,30.2,59.2
2025-10-09 20:00,29.9,59.5
2025-10-09 20:05,29.9,59.3
2025-10-09 20:10,29.8,60.2
2025-10-09 20:15,29.8,59.5
2025-10-09 20:20,29.4,60.4
2025-10-09 20:25,29.4,60.2
2025-10-09 20:30,29.2,60.7
2025-10-09 20:35,29.1,61.2
2025-10-09 20:40,29.3,61.1
